System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,json in csv file,Link,Citations,Inclusion criteria,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training cost (2020 USD),Compute Sponsor Categorization
MCDNN (MNIST),Vision,Character recognition,IDSIA,Academia,"D Ciregan, U Meier, J Schmidhuber",13/02/2012,2012,Multi-column Deep Neural Networks for Image Classification,https://arxiv.org/abs/1202.2745v1,4.83E+03,Highly cited,1.99E+06,3.7E+15,MNIST,6.00E+04,3,2.59E+07,490,,0.021,,,,,Academia
Dropout (MNIST),Vision,Character recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,5.59E+06,6.0E+15,MNIST,6.00E+04,2,1.12E+07,,,0.021,,,,,Academia
Dropout (TIMIT),Speech,Speech recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,4.88E+07,,TIMIT,4.16E+04,4,,,,,,,,,Academia
Dropout (CIFAR),Vision,Character recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,,,,,,,,,,,,,,Academia
Dropout (ImageNet),Vision,Image classification,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,,,ImageNet,1.00E+06,7,,,,,,,,,Academia
AlexNet,Vision,Image classification,University of Toronto,Academia,"Alex Krizhevsky, Ilya Sutskever, Geoffrey Hinton",30/09/2012,2012,ImageNet Classification with Deep Convolutional Neural Networks,https://proceedings.neurips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,8.51E+04,Highly cited,6.00E+07,4.7E+17,ImageNet,1.20E+06,8,,,,,,,,,Academia
,,,"University of Toronto, University of Sherbrooke, Harvard University",Academia,"J Snoek, H Larochelle, RP Adams",02/12/2012,2012,Practical Bayesian optimization of machine learning algorithms,https://arxiv.org/abs/1206.2944,5.67E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,Object detection,"Univeristy of Trento, University of Amsterdam",Academia,"JRR Uijlings, KEA Van De Sande, T Gevers",02/04/2013,2013,Selective search for object recognition,https://link.springer.com/article/10.1007/s11263-013-0620-5,5.59E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,"University of Trento, University of Amsterdam",Academia,"JRR Uijlings, KEA Van De Sande, T Gevers",02/04/2013,2013,Selective search for object recognition,https://link.springer.com/article/10.1007/s11263-013-0620-5,5.59E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,Stanford,Academia,"R Socher, D Chen, CD Manning, A Ng",12/2013,2013,Reasoning With Neural Tensor Networks for Knowledge Base Completion,https://papers.nips.cc/paper/2013/hash/b337e84de8752b27eda3a12363109e80-Abstract.html,1.66E+03,Highly cited,,,,,,,,,,,,,,Academia
DQN,Games,Atari,DeepMind,Industry,"V Mnih, K Kavukcuoglu, D Silver, A Graves",01/01/2013,2013,Playing Atari with Deep Reinforcement Learning,https://arxiv.org/abs/1312.5602,6.68E+03,Highly cited,8.36E+05,2.3E+15,,,,,,,,,,,,Industry
,Vision,,Stanford,Academia,"R Socher, M Ganjoo, H Sridhar, O Bastani",16/01/2013,2013,Zero-Shot Learning Through Cross-Modal Transfer,https://arxiv.org/abs/1301.3666,1.21E+03,Highly cited,,,,,,,,,,,,,,Academia
Maxout Networks ,Vision,Image classification,University of Montreal,Academia," Ian J. Goodfellow, David Warde-Farley, Mehdi Mirza, Aaron Courville, Yoshua Bengio",18/02/2013,2013,Maxout Networks ,https://arxiv.org/abs/1302.4389,2.58E+03,Highly cited,,,,,,,,,,,,,,Academia
PreTrans-3L-250H,Speech,Speech recognition,Univeristy of Toronto,Academia,"Alex Graves, Abdel-rahman Mohamed, Geoffrey Hinton",22/03/2013,2013,Speech Recognition with Deep Recurrent Neural Networks,https://arxiv.org/abs/1303.5778,7.79E+03,Highly cited,4.30E+07,,,,,,,,,,,,,Academia
,Language,,Microsoft Research,Industry,"T Mikolov, W Yih, G Zweig",09/06/2013,2013,Linguistic Regularities in Continuous Space Word Representations,https://www.aclweb.org/anthology/N13-1090/,3.63E+03,Highly cited,,,,,,,,,,,,,,Industry
Mitosis,Vision,,IDSIA,Academia,"Dan C. Cireşan, Alessandro Giusti, Luca M. Gambardella, Jürgen Schmidhuber",22/09/2013,2013,Mitosis Detection in Breast Cancer Histology Images with Deep Neural Networks,https://link.springer.com/chapter/10.1007/978-3-642-40763-5_51,1.46E+03,ICPR 2012 mitosis detection competition winner,3.72E+04,1.4E+17,,1.00E+06,,,,,,,,,,Academia
Word2Vec (large),Language,Semantic embedding,Google,Industry,"T Mikolov, I Sutskever, K Chen, GS Corrado",16/10/2013,2013,Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/abs/1310.4546,2.87E+04,Highly cited,6.92E+09,3.9E+16,,6.92E+05,,,,,,,,Predict nearby words,,Industry
Word2Vec (small),Language,Semantic embedding,Google,Industry,"T Mikolov, I Sutskever, K Chen, GS Corrado",16/10/2013,2013,Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/abs/1310.4546,2.87E+04,Highly cited,2.08E+08,,,6.92E+05,,,,,,,,,,Industry
R-CNN (T-net),Vision,Object detection,UC Berkeley,Academia,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",11/11/2013,2013,Rich feature hierarchies for accurate object detection and semantic segmentation,https://arxiv.org/abs/1311.2524,1.91E+04,Highly cited,6.90E+07,,,,,,,,,,,,,Academia
Visualizing CNNs,Vision,,NYU,Academia,"MD Zeiler, R Fergus",12/11/2013,2013,Visualizing and Understanding Convolutional Networks,https://arxiv.org/abs/1311.2901,1.30E+04,Highly cited,,5.3E+17,,,,,,,,,,Predict nearby words,,Academia
TransE,Other,Entity embedding,"CNRS, Google",Industry - Academia Collaboration,"Antoine Bordes, Nicolas Usunier, Alberto Garcia- Duran, Jason Weston, and Oksana Yakhnenko",05/12/2013,2013,Translating Embeddings for Modeling Multi- relational Data,https://papers.nips.cc/paper/2013/hash/1cecc7a77928ca8133fa24680a88d2f9-Abstract.html,4.00E+03,,,1.3E+18,,1.70E+07,,,,,,,,,,Industry
DBLSTM,Speech,Speech recognition,Univeristy of Toronto,Academia,"A Graves, N Jaitly, A Mohamed",08/12/2013,2013,Hybrid speech recognition with Deep Bidirectional LSTM,https://ieeexplore.ieee.org/document/6707742,1.46E+03,Highly cited,2.99E+07,,,,,,,,,,,,,Academia
Network in Network,,,National University of Singapore,Academia,"M Lin, Q Chen, S Yan",16/12/2013,2013,Network In Network,https://arxiv.org/abs/1312.4400,5.50E+03,Highly cited,,,,,,,,,,,,,,Academia
Image generation,Vision,Image clustering,Univeristy of Amsterdam,Academia,"DP Kingma, M Welling",20/12/2013,2013,Auto-Encoding Variational Bayes,https://arxiv.org/abs/1312.6114,1.56E+04,Highly cited,,4.8E+14,MNIST,6.00E+04,,,,,,,,,,Academia
,Vision,Image classification,New York University,Academia,"Pierre Sermanet, David Eigen, Xiang Zhang, Michael Mathieu, Rob Fergus, Yann LeCun",21/12/2013,2013,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks",https://arxiv.org/abs/1312.6229,5.15E+03,Highly cited,,,,,,,,,,,,,,Academia
NTM,,,Google DeepMind,Industry,"Alex Graves, Greg Wayne, Ivo Danihelka",10/12/2014,2014,Neural Turing Machines,https://arxiv.org/abs/1410.5401,1.93E+03,Highly cited,,,,,,,,,,,,,,Industry
,,,University of Toronto,Academia,"Nitish Shrivasta, Geoffrey Hinton, Alex Krizhevsky",01/06/2014,2014,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,https://jmlr.org/papers/v15/srivastava14a.html,3.19E+04,Highly cited,,,,,,,,,,,,,,Academia
SmooCT,Games,,University College London,Academia,"Johannes Heinrich, David Silver",01/07/2014,2014,Self-Play Monte-Carlo Tree Search in Computer Poker,https://www.semanticscholar.org/paper/Self-play-Monte-Carlo-tree-search-in-computer-poker-Heinrich-Silver/7b687599b4425aa959036071030e1212a3b359c7,1.60E+01,SOTA improvement,,,,,,,,,,,,,,Academia
Multiresolution CNN,Video,Video classification,"Stanford, Google",Industry - Academia Collaboration,"A Karpathy, G Toderici, S Shetty, T Leung",23/06/2014,2014,Large-Scale Video Classification with Convolutional Neural Networks,https://ieeexplore.ieee.org/document/6909619,5.90E+03,Highly cited,1.26E+08,,,,,,,,,,,,,Industry
GloVe (6B),Language,Semantic embedding,Stanford,Academia,"J Pennington, R Socher, CD Manning",01/01/2014,2014,GloVe: Global Vectors for Word Representation,https://nlp.stanford.edu/projects/glove/,2.25E+04,Highly cited,1.20E+08,,Gigaword5 + Wikipedia2014,6.00E+09,,N/A,12.1875,0,35,,,,,Academia
GloVe (32B),Language,Semantic embedding,Stanford,Academia,"J Pennington, R Socher, CD Manning",01/01/2014,2014,GloVe: Global Vectors for Word Representation,https://nlp.stanford.edu/projects/glove/,2.25E+04,Highly cited,1.20E+08,,Common Crawl,4.20E+10,,N/A,12.1875,0,35,,,,,Academia
DBNs,Language,Text classification,"Microsoft, University of Toronto",Industry - Academia Collaboration,"R Sarikaya, GE Hinton, A Deoras",11/02/2014,2014,Application of Deep Belief Networks for Natural Language Understanding,https://ieeexplore.ieee.org/document/6737243,4.45E+02,,1.02E+06,,,1.78E+05,3,,,,,,,,,Industry
HyperNEAT,Games,Atari Games,University of Texas,Academia,"M Hausknecht, J Lehman",05/03/2014,2014,A Neuroevolution Approach to General Atari Game Playing,https://ieeexplore.ieee.org/abstract/document/6756960,1.95E+02,,2.40E+05,,,,,,,,,,,,,Academia
GRUs,Language,,"University of Montreal, Jacobs University, University du Maine",Academia,"K Cho, B Van Merriënboer, C Gulcehre",03/06/2014,2014,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,https://arxiv.org/abs/1406.1078,1.50E+04,Highly cited,,,,,,,,,,,,,,Academia
,Video,Video classification,University of Oxford,Academia,"Karen Simonyan, Andrew Zisserman",09/06/2014,2014,Two-Stream Convolutional Networks for Action Recognition in Videos,https://arxiv.org/abs/1406.2199,6.22E+03,Highly cited,,,,,,,,,,,,,,Academia
GANs,Drawing,Image generation,Universite de Montréal,Academia,"Ian J. Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio",10/06/2014,2014,Generative Adversarial Networks,https://arxiv.org/abs/1406.2661,3.69E+04,Highly cited,,5.2E+17,CIFAR-10,6.00E+04,,,,,,,,,,Academia
SPPNet,Vision,Image classification,"Microsoft, Xi’an Jiaotong University, University of Science and Technology of China",Industry - Academia Collaboration,,18/06/2014,2014,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,https://arxiv.org/abs/1406.4729,7.41E+03,Highly cited,,6.1E+18,Imagenet-1k,1.28E+06,,,,,,,,,,Industry
,Vision,Face verification,"Tel Aviv University, Facebook",Industry - Academia Collaboration,"Y Taigman, M Yang, MA Ranzato",23/06/2014,2014,DeepFace: Closing the Gap to Human-Level Performance in Face Verification,https://ieeexplore.ieee.org/document/6909616,5.74E+03,Highly cited,,,,,,,,,,,,,,Industry
,,,Facebook,Industry,"X He, J Pan, O Jin, T Xu, B Liu, T Xu, Y Shi",24/08/2014,2014,Practical Lessons from Predicting Clicks on Ads at Facebook,https://dl.acm.org/doi/10.1145/2648584.2648589,5.86E+02,,,,,,,,,,,,,,,Industry
RNNsearch-50*,Language,Translation,"Universite de Montréal, Jacobs University Bremen",Academia,"D Bahdanau, K Cho, Y Bengio",01/09/2014,2014,Neural Machine Translation by Jointly Learning to Align and Translate,https://arxiv.org/abs/1409.0473,1.92E+04,Highly cited,,1.6E+18,WMT'14 + selection,3.84E+08,,,,,,,,,,Academia
VGG16,Vision,,University of Oxford,Academia,Karen Simonyan; Andrew Zisserman,04/09/2014,2014,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://arxiv.org/abs/1409.1556,6.13E+04,Highly cited,1.38E+08,8.5E+18,ILSVRC-2012,1.30E+06,16,1.53E+10,,,,,,,,Academia
VGG19,Vision,,University of Oxford,Academia,"K Simonyan, A Zisserman",04/09/2014,2014,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://arxiv.org/abs/1409.1556,6.13E+04,Highly cited,1.44E+08,,ILSVRC-2012,1.30E+06,19,1.96E+10,,,,,,,,Academia
Seq2Seq,Language,Translation,Google,Industry,"I Sutskever, O Vinyals, QV Le",10/09/2014,2014,Sequence to Sequence Learning with Neural Networks,https://arxiv.org/abs/1409.3215,1.57E+04,Highly cited,3.84E+08,7.3E+18,WMT'14 dataset,3.84E+08,,,,,,,,,,Industry
LRCN,Vision,Video description,"UT Austin, UMass Lowell, UC Berkeley",Academia,"Jeff Donahue, Lisa Anne Hendricks, Marcus Rohrbach, Subhashini Venugopalan, Sergio Guadarrama, Kate Saenko, Trevor Darrell",07/11/2014,2014,Long-term Recurrent Convolutional Networks for Visual Recognition and Description,https://arxiv.org/abs/1411.4389,5.22E+03,Highly cited,1.43E+08,,TaCoS,4.00E+04,,,,,,Reinforcement learning,,,,Academia
,Vision,Image segmentation,"University of California, Berkeley",Academia,"J Long, E Shelhamer, T Darrell",14/11/2014,2014,Fully Convolutional Networks for Semantic Segmentation,https://arxiv.org/abs/1411.4038,2.47E+04,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,The Chinese University of Hong Kong,Academia,"Z Liu, P Luo, X Wang, X Tang",28/11/2014,2014,Deep Learning Face Attributes in the Wild,https://arxiv.org/abs/1411.7766,4.01E+03,Highly cited,,,,,,,,,,,,,,Academia
ADAM (CIFAR-10),Vision,Image classification,"University of Amsterdam, OpenAI, University of Toronto",Industry - Academia Collaboration,"DP Kingma, J Ba",22/12/2014,2014,Adam: A Method for Stochastic Optimization,https://arxiv.org/abs/1412.6980,8.11E+04,Highly cited,,6.0E+16,,,,,,,,,,,,Industry
DeepLab,Vision,Image segmentation,"Google, University of California Los Angeles",Industry - Academia Collaboration,"Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, Alan L. Yuille",22/12/2014,2014,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs,https://arxiv.org/abs/1412.7062,3.70E+03,Highly cited,,,,,,,,,,,,,,Industry
"MSRA (C, PReLU)",Vision,Image classification,Microsoft research,Industry,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",09/01/2015,2015,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,https://arxiv.org/abs/1406.4729,1.41E+04,Highly cited,8.70E+07,2.4E+19,Imagenet-1k,1.28E+06,,,,,,,,,,Industry
,Vision,Image segmentation,"University of Oxford, Stanford University, Baidu",Industry - Academia Collaboration,"Shuai Zheng, Sadeep Jayasumana, Bernardino Romera-Paredes, Vibhav Vineet, Zhizhong Su, Dalong Du, Chang Huang, Philip H. S. Torr",11/02/2015,2015,Conditional Random Fields as Recurrent Neural Networks,https://arxiv.org/abs/1502.03240,2.66E+03,Highly cited,,,,,,,,,,,,,,Industry
DQN-2015,Games,Atari Games,Google,Industry,"V Mnih, K Kavukcuoglu, D Silver, AA Rusu, J Veness",25/02/2015,2015,Human-level control through deep reinforcement learning,https://www.nature.com/articles/nature14236,1.57E+04,Highly cited,1.62E+06,,,,,,,,,,,,,Industry
Constituency-Tree LSTM,Language,Semantic embedding,"Stanford, MetaMind Inc",Industry - Academia Collaboration,"KS Tai, R Socher, CD Manning",28/02/2015,2015,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,https://arxiv.org/abs/1503.00075,2.62E+03,Highly cited,2.05E+05,,,,,,,,,,,,,Industry
Fast R-CNN,Vision,Object detection,Microsoft Research,Industry,R Girshick,30/04/2015,2015,Fast R-CNN,https://arxiv.org/abs/1504.08083,1.58E+04,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Video,"University of Maryland, University of Texas, Google Inc.",Industry - Academia Collaboration,"Joe Yue-Hei Ng, Matthew Hausknecht, Sudheendra Vijayanarasimhan, Oriol Vinyals, Rajat Monga, George Toderici",01/05/2015,2015,Beyond Short Snippets: Deep Networks for Video Classification,https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Ng_Beyond_Short_Snippets_2015_CVPR_paper.html,2.26E+03,Highly cited,,,,,,,,,,,,,,Industry
DSN,VIsion,Image classification,"University of California, Microsoft Research",Industry - Academia Collaboration (Academia leaning),"Chen-Yu Lee, Saining Xie, Patrick Gallagher, Zhengyou Zhang, Zhuowen Tu",09/05/2015,2015,Deeply-Supervised Nets,http://proceedings.mlr.press/v38/lee15a.html,1.94E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Action recognition,"Chinese University of Hong Kong, Chinese Academy of Sciences",Academia,"Limin Wang, Yu Qiao, Xiaoou Tang",01/06/2015,2015,Action Recognition with Trajectory-Pooled Deep-Convolutional Descriptors,https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Wang_Action_Recognition_With_2015_CVPR_paper.html,3.47E+03,Highly cited,,,,,,,,,,,,,,Academia
Faster R-CNN,Vision,Object detection,Microsoft Research,Industry,"S Ren, K He, R Girshick, J Sun",04/06/2015,2015,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,https://arxiv.org/abs/1506.01497,2.30E+04,Highly cited,,,,,,,,,,,,,,Industry
GoogLeNet / InceptionV1,Vision,Image classification,"Google, University of Michigan, University of North Carolina",Industry - Academia Collaboration (Industry leaning),"Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich",07/06/2015,2015,Going deeper with convolutions,https://arxiv.org/abs/1409.4842,3.28E+04,Highly cited,6.80E+06,1.6E+18,ILSVRC 2014,1.20E+06,22,,,,,,,,,Industry
YOLO,Vision,Object detection,University of Washington,Industry - Academia Collaboration,"J Redmon, S Divvala, R Girshick",08/06/2015,2015,"You Only Look Once: Unified, Real-Time Object Detection",https://arxiv.org/abs/1506.02640,1.75E+04,Highly cited,6.45E+07,,,,,,,,,,,,,Industry
BatchNorm,,,Google,Industry,"S Ioffe, C Szegedy",15/06/2015,2015,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,https://arxiv.org/abs/1502.03167,2.92E+04,Highly cited,,,,,,,,,,,,,,Industry
,,,"Google, Carnegie Mellon University",Industry - Academia Collaboration,"William Chan, Navdeep Jaitly, Quoc Le, and Oriol Vinyals",20/08/2015,2015,"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition",https://ieeexplore.ieee.org/document/7472621,1.62E+03,,,,,,,,,,,,,,,Industry
BPE,Language,Translation,University of Edinburgh,Academia,"R Sennrich, B Haddow, A Birch",31/08/2015,2015,Neural Machine Translation of Rare Words with Subword Units,https://arxiv.org/abs/1508.07909,4.06E+03,Highly cited,,,WMT'15,3.75E+07,,,,,,,,,,Academia
,,,Google DeepMind,Industry,"TP Lillicrap, JJ Hunt, A Pritzel, N Heess, T Erez",09/09/2015,2015,Continuous control with deep reinforcement learning,https://arxiv.org/abs/1509.02971,6.35E+03,Highly cited,,,,,,,,,,,,,,Industry
AlphaGo Fan,Games,Go,Google DeepMind,Industry,"D Silver, A Huang, CJ Maddison, A Guez, L Sifre",01/10/2015,2015,Mastering the game of Go with deep neural networks and tree search,https://www.nature.com/articles/nature24270.epdf?author_access_token=VJXbVjaSHxFoctQQ4p2k4tRgN0jAjWel9jnR3ZoTv0PVW4gB86EEpGqTRDtpIz-2rmo8-KG06gqVobU5NSCFeHILHcVFUeMsbvwS-lxjqQGg98faovwjxeTUgZAUMnRQ,5.18E+03,SOTA improvement,8.21E+06,3.8E+20,,,,,,,,,,,,Industry
,,,Google DeepMind,Industry,"Z Wang, T Schaul, M Hessel",20/11/2015,2015,Dueling Network Architectures for Deep Reinforcement Learning,https://arxiv.org/abs/1511.06581,2.00E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Image segmentation,"Princeton University, Intel Labs",Industry - Academia Collaboration,"Fisher Yu, Vladlen Koltun",23/11/2015,2015,Multi-Scale Context Aggregation by Dilated Convolutions,https://arxiv.org/abs/1511.07122,5.84E+03,Highly cited,,,,,,,,,,,,,,Industry
,Recommendation,,Netflix,Industry,"CA Gomez-Uribe, N Hunt",12/2015,2015,"The Netflix Recommender System: Algorithms, Business Value, and Innovation",https://dl.acm.org/doi/pdf/10.1145/2843948,1.09E+03,Highly cited,,,,,,,,,,,,,,Industry
Inception v3,Vision,Image classification,"Google, University College London",Industry - Academia Collaboration (Industry leaning),"Christian Szegedy, Vincent Vanhoucke, Sergey Ioffe, Jonathon Shlens, Zbigniew Wojna",02/12/2015,2015,Rethinking the inception architecture for computer vision.,https://arxiv.org/abs/1512.00567,1.47E+04,Highly cited,2.36E+07,,ILSVRC 2012,1.20E+06,,1.15E+11,,,,,,Score,,Industry
DeepSpeech2,Speech,Speech recognition,Baidu Research- Silicon Valley AI Lab,Industry,"D Amodei, S Ananthanarayanan",08/12/2015,2015,Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,https://arxiv.org/abs/1512.02595,2.21E+03,Highly cited,3.80E+07,2.6E+19,,9.80E+09,11,1.80E+09,,,,,,,,Industry
ResNet-152 (ImageNet),Vision,Image classification,Microsoft,Industry,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",10/12/2015,2015,Deep Residual Learning for Image Recognition,https://arxiv.org/abs/1512.03385,8.58E+04,Highly cited,6.00E+07,1.2E+19,ILSVRC 2012,1.20E+06,152,2.26E+10,,,138,,,,,Industry
ResNet-110 (CIFAR-10),Vision,Image classification,Microsoft,Industry,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",10/12/2015,2015,Deep Residual Learning for Image Recognition,https://arxiv.org/abs/1512.03385,8.58E+04,Highly cited,1.70E+06,,,,110,,,,,,,,,Industry
BPL,Drawing,Image generation,"NYU, University of Toronto, MIT",Academia,"BM Lake, R Salakhutdinov, JB Tenenbaum",11/12/2015,2015,Human-level concept learning through probabilistic program induction,https://science.sciencemag.org/content/350/6266/1332/,2.01E+03,Highly cited,,,,,,,,,,,,,,Academia
Advantage Learning,Games,Atari Games,Google DeepMind,Industry,"MG Bellemare, G Ostrovski, A Guez",15/12/2015,2015,Increasing the Action Gap: New Operators for Reinforcement Learning,http://arxiv.org/abs/1512.04860v1,1.04E+02,SOTA improvement,,,,,,,,,,,,,,Industry
,Vision,Image super-resolution,Seoul National University,Academia,"Jiwon Kim, Jung Kwon Lee, Kyoung Mu Lee",11/11/2016,2016,Deeply-Recursive Convolutional Network for Image Super-Resolution,https://arxiv.org/abs/1511.04491,1.97E+03,Highly cited,,,,,,,,,,,,,,Academia
AlphaGo Lee,Games,Go,DeepMind,Industry,"D Silver, A Huang, CJ Maddison, A Guez, L Sifre",27/01/2016,2016,Mastering the game of Go with deep neural networks and tree search,https://www.nature.com/articles/nature16961,1.08E+04,Highly cited,,1.9E+21,,2.94E+07,,,,,,,,,,Industry
,Vision,Pose estimation,"The Robotics Institute, Carnegie Mellon University",Academia,"Shih-En Wei, Varun Ramakrishna, Takeo Kanade, Yaser Sheikh",30/01/2016,2016,Convolutional Pose Machines,https://arxiv.org/abs/1602.00134,2.42E+03,Highly cited,,,,,,,,,,,,,,Academia
A3C FF hs,Games,Atari Games,"Google, University of Montreal",Industry - Academia Collaboration (Industry leaning),"V Mnih, AP Badia, M Mirza, A Graves",04/02/2016,2016,Asynchronous Methods for Deep Reinforcement Learning,http://arxiv.org/abs/1602.01783v2,5.28E+03,SOTA improvement,,,,,,,,,,,,,,Industry
Inceptionv4,Vision,Image classification,Google,Industry,"Christian Szegedy, Sergey Ioffe, Vincent Vanhoucke, Alex Alemi",23/02/2016,2016,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",https://arxiv.org/abs/1602.07261,8.21E+03,Highly cited,4.30E+07,,,,,2.46E+10,,,,,,,,Industry
Inception-ResNet-V2,Vision,Image classification,Google,Industry,"Christian Szegedy, Sergey Ioffe, Vincent Vanhoucke, Alex Alemi",23/02/2016,2016,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",https://arxiv.org/abs/1602.07261,8.21E+03,Highly cited,5.60E+07,,,,,2.64E+09,,,,,,,,Industry
SqueezeNet,Vision,Image classification,"DeepScale, UC Berkeley, Stanford",Industry - Academia Collaboration,"Forrest N. Iandola, Song Han, Matthew W. Moskewicz, Khalid Ashraf, William J. Dally, Kurt Keutzer",24/02/2016,2016,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size,https://arxiv.org/abs/1602.07360,4.40E+03,Highly cited,0.00E+00,,,,,,,,,,,,,Industry
,Vision,Image super-resolution,"Nanjing University, University of Adelaide",Academia,"Xiao-Jiao Mao, Chunhua Shen, Yu-Bin Yang",30/03/2016,2016,Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections,https://arxiv.org/abs/1603.09056v2,1.18E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,Video,"Graz University of Technology, University of Oxford",Academia,"Christoph Feichtenhofer, Axel Pinz, Andrew Zisserman",01/06/2016,2016,Convolutional Two-Stream Network Fusion for Video Action Recognition,https://openaccess.thecvf.com/content_cvpr_2016/html/Feichtenhofer_Convolutional_Two-Stream_Network_CVPR_2016_paper.html,2.28E+03,Highly cited,,,,,,,,,,,,,,Academia
DMN,Language,,Salesforce,Industry,"Ankit Kumar, Ozan Irsoy, Peter Ondruska, Mohit Iyyer, James Bradbury, Ishaan Gulrajani, Victor Zhong, Romain Paulus, Richard Socher",20/06/2016,2016,Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,https://arxiv.org/abs/1506.07285,1.19E+03,Highly cited,,,,,,,,,,,,,,Industry
R-FCN,Vision,Object detection,"Microsoft research, Tsinghua university",Industry - Academia Collaboration (Industry leaning),"Jifeng Dai, Y. Li, Kaiming He, and Jian Sun",21/06/2016,2016,R-fcn: Object detection via region-based fully convolutional networks.,https://arxiv.org/abs/1605.06409,4.49E+03,,,6.1E+16,PASCAL VOC (2007 and 2012 vesrions) + MS COCO,9.44E+04,,,12.06567222,170,,,,,,Industry
,Recommendation,,Google,Industry,"HT Cheng, L Koc, J Harmsen, T Shaked",24/06/2016,2016,Wide & Deep Learning for Recommender Systems,https://arxiv.org/abs/1606.07792,1.61E+03,Highly cited,,,,,,,,,,,,,,Industry
,Language,,Facebook AI research,Industry,"A Joulin, E Grave, P Bojanowski, T Mikolov",06/07/2016,2016,Bag of Tricks for Efficient Text Classification,https://arxiv.org/abs/1607.01759,3.09E+03,Highly cited,,,,,,,,,,,,,,Industry
,Language,,Facebook AI research,Industry,"P Bojanowski, E Grave, A Joulin",15/07/2016,2016,Enriching Word Vectors with Subword Information,https://arxiv.org/abs/1607.04606,6.35E+03,Highly cited,,,,,,,,,,,,,,Industry
Part-of-sentence tagging model,Language,POS tagging,University of Toronto,Academia,"Jimmy Lei Ba, Jamie Ryan Kiros, and Geoffrey E Hin- ton",21/07/2016,2016,Layer Normalization.,https://arxiv.org/abs/1607.06450,4.13E+03,Highly cited,,1.5E+17,,,,,12,,,,,,,Academia
